PROFILE_ID,PROFILE_NAME,GENERATED_DESCRIPTION
960,Overall_Roaming_Flag_90D,"The Overall_Roaming_Flag_90D KPI measures whether a subscriber has roamed within the last 90 days. It's a categorical (java.lang.String) metric used in CVM rule engines to assess customer behavior, likely derived from call detail records. Its purpose is to inform roaming-related customer value management strategies."
961,Top_3rd_Country_Roaming_30D,"The 'Top_3rd_Country_Roaming_30D' KPI measures the top third country for roaming activity over the last 30 days, categorized as a string variable. It's used in CVM rule engines to assess subscriber roaming behavior, likely derived from CDRs, and is stored in a column named 'Top_3rd_Country_Roaming_30D'."
962,Top_2nd_Country_Roaming_30D,"Top_2nd_Country_Roaming_30D measures the top second country for roaming activity over 30 days, likely derived from CDRs, indicating customer roaming behavior and valuable for CVM campaign targeting, categorized under GROUP_ID 105 as a java.lang.String variable."
963,Top_1st_Country_Roaming_30D,"The Top_1st_Country_Roaming_30D KPI measures the top country for roaming activity over the last 30 days, likely derived from CDRs, and is used in CVM rule engines to identify high-value roaming customers, categorized as a string variable."
964,Roaming_Charges_30D,"Roaming_Charges_30D measures the total roaming charges incurred by a subscriber over 30 days, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
965,Rev_Roaming_V_30D,"Revenue from roaming services over the last 30 days, a numeric KPI used in CVM rule engines to measure subscriber value, likely derived from call detail records, and stored as a Double type variable."
966,Payg_Rev_Roaming_Lst_30D,"Payg_Rev_Roaming_Lst_30D measures the total revenue generated by pay-as-you-go subscribers while roaming in the last 30 days. It's a numeric KPI, likely derived from call detail records, used in CVM rule engines to assess customer value and roaming revenue performance."
967,Voice_Roam_Rev_Lmtd,"Voice Roam Revenue Limited measures roaming voice revenue within a telecom CVM rule engine, likely derived from call detail records, stored as a Double value, and used to assess subscriber roaming behavior and revenue performance."
968,Voice_Roam_Rev_Mtd,"The Voice_Roam_Rev_Mtd KPI measures monthly roaming revenue from voice services, likely derived from call detail records. It's a numeric (java.lang.Double) metric used in CVM rule engines to assess subscriber value and tailor campaigns based on roaming revenue generation."
969,Roaming_Voice_Out_MOUs_90D,"Roaming_Voice_Out_MOUs_90D measures the total outgoing voice minutes of use for roaming subscribers over 90 days, likely derived from CDRs, stored as a java.lang.Double value, and used in CVM rule engines to assess customer value based on usage patterns."
970,Roaming_Voice_Out_MOUs_60D,"Roaming_Voice_Out_MOUs_60D measures the total outgoing voice minutes of use over 60 days, likely derived from CDRs, indicating roaming usage behavior. It's a numeric KPI used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
971,Roaming_Voice_Out_MOUs_30D,"This KPI measures the total outgoing voice minutes of use (MOUs) for roaming subscribers over the last 30 days, likely derived from call detail records. It's a numeric value used in CVM rule engines to assess customer behavior and value."
972,Roaming_Voice_In_MOUs_90D,"Roaming_Voice_In_MOUs_90D measures the total voice minutes of usage for roaming subscribers over 90 days, likely derived from call detail records, and is used in CVM rule engines to assess customer value, with values stored as java.lang.Double."
973,Roaming_Voice_In_MOUs_60D,"Roaming_Voice_In_MOUs_60D measures the total voice minutes of usage for roaming subscribers over 60 days, likely derived from CDRs, stored as a Double value, and used in CVM rule engines to assess customer value and behavior."
974,Roaming_Voice_In_MOUs_30D,"Roaming Voice Minutes of Use in the last 30 days, a numeric KPI measuring subscriber voice usage while roaming, likely derived from CDRs, used in CVM rule engines to assess customer value and behavior."
975,Voice_Usg_Roam_Lmtd,"Measures the limited roaming voice usage for a telecom subscriber, likely derived from call detail records, stored as a numeric value, and used within a CVM rule engine to assess customer behavior and value."
976,Voice_Usg_Roam_Mtd,"This KPI measures the monthly roaming voice usage for a telecom subscriber, likely derived from call detail records. It's a numeric value used in CVM rule engines to assess customer behavior and tailor campaigns, capturing a key aspect of subscriber engagement and revenue generation."
977,Top_3rd_Favorite_Roaming_Countries_in_M1,"This KPI measures the top 3rd favorite roaming countries in month 1, indicating subscriber roaming behavior. It's a categorical variable derived from call detail records, used in CVM rule engines to identify valuable customers based on their roaming patterns."
978,Top_2nd_Favorite_Roaming_Countries_in_M1,"Top 2nd Favorite Roaming Countries in M1 measures the second most frequently used roaming country by a subscriber in the last month, indicating roaming behavior and preferences, used in CVM rule engine for targeted campaigns, stored as a string variable."
979,Top_1st_Favorite_Roaming_Countries_in_M1,"Top_1st_Favorite_Roaming_Countries_in_M1 measures the most frequently used roaming country by a subscriber in the last month, indicating roaming behavior and preferences. It's a categorical KPI used in CVM rule engines to personalize offers based on subscriber roaming patterns."
980,Top_3rd_Favorite_Roaming_Countries_in_M2,"This KPI measures the top 3rd favorite roaming countries in a month, indicating subscriber roaming behavior. It's a categorical metric, likely derived from call detail records, used in CVM rule engines to identify valuable customers based on their roaming patterns."
981,Top_2nd_Favorite_Roaming_Countries_in_M2,"Top 2nd Favorite Roaming Countries in M2 measures the second most frequently used roaming countries by subscribers over two months, indicating roaming behavior patterns. It's a categorical KPI used in CVM rule engines to tailor customer value management strategies based on roaming preferences."
982,Top_1st_Favorite_Roaming_Countries_in_M2,"This KPI measures the top favorite roaming countries for a customer in the last month, categorized as a string variable. It's used in a CVM rule engine to understand customer roaming behavior, likely derived from call detail records, and informs targeted marketing or retention strategies."
983,Top_3rd_Favorite_Roaming_Countries_in_MTD,"This KPI measures the top 3rd favorite roaming countries for a customer in the current month, indicating roaming behavior and preferences. It's a categorical metric used in CVM rule engines to tailor customer value management strategies based on roaming patterns."
984,Top_2nd_Favorite_Roaming_Countries_in_MTD,"This KPI measures the top 2nd favorite roaming countries for a customer in the current month, derived from call detail records, categorized as a string variable, likely used in CVM rule engines to identify customer roaming behavior patterns."
985,Top_1st_Favorite_Roaming_Countries_in_MTD,Top 1st Favorite Roaming Countries in MTD measures the most frequently visited country by a subscriber while roaming during the current month. It's a categorical KPI used in CVM rule engines to identify subscriber behavior and tailor marketing campaigns.
986,Roaming_Sms_Out_90D,"Roaming_Sms_Out_90D measures the count of outgoing SMS sent by subscribers while roaming over the last 90 days. It's a numeric KPI used in CVM rule engines to assess customer behavior and value. The integer values are likely derived from CDRs, indicating usage patterns."
987,Roaming_Sms_Out_60D,Roaming_Sms_Out_60D measures the count of outgoing SMS sent by subscribers while roaming over the last 60 days. It's a numeric KPI used in CVM rule engines to assess customer behavior and value. The metric is likely derived from CDRs and stored as an integer.
988,Roaming_Sms_Out_30D,The Roaming_Sms_Out_30D KPI measures the number of SMS sent by a subscriber while roaming over the last 30 days. It's a numeric value used in CVM rule engines to assess customer behavior and engagement. The metric is likely derived from CDRs and is used to inform targeted marketing campaigns.
989,Onnet_Sms_90D,"Onnet_Sms_90D measures the count of SMS sent to other subscribers on the same network over 90 days, likely derived from CDRs, used in CVM rule engines to assess customer engagement, with integer values indicating cumulative counts."
990,Onnet_Sms_60D,"Onnet_Sms_60D measures the count of SMS sent to on-network subscribers over 60 days, likely derived from CDRs, used in CVM rule engines to assess customer engagement, with integer values indicating frequency or volume, enabling telecom companies to analyze subscriber behavior and tailor marketing strategies."
991,Onnet_Sms_30D,"The Onnet_Sms_30D KPI measures the number of SMS sent to on-net subscribers within 30 days, likely derived from CDRs, and is used in CVM rule engines to assess customer engagement, with values stored as integers, indicating a usage metric."
992,Offnet_Sms_90D,"The Offnet_Sms_90D KPI measures the count of off-net SMS sent by a subscriber over the last 90 days, likely derived from CDRs, and is used in CVM rule engines to assess customer engagement and value, stored as an integer value."
993,Offnet_Sms_60D,"Offnet_Sms_60D measures the count of SMS sent to off-net numbers over 60 days, likely derived from CDRs, used in CVM rule engines to assess customer engagement and value, stored as an integer, indicating a cumulative count over a specific period."
994,Offnet_Sms_30D,"The Offnet_Sms_30D KPI measures the count of off-net SMS sent by a subscriber over the last 30 days. It's a numeric value, likely derived from call detail records, and is used in CVM rule engines to assess customer engagement and value."
995,Total_Sms_Rev_90D,"Total_Sms_Rev_90D measures the total revenue from SMS over 90 days, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess subscriber value, with a cumulative temporal classification, indicating long-term SMS revenue generation."
996,Total_Sms_Rev_60D,"Total_Sms_Rev_60D measures the total revenue from SMS over 60 days, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess subscriber value, with values stored as java.lang.Double, indicating a cumulative 60-day revenue metric."
997,Total_Sms_Rev_30D,"Total_Sms_Rev_30D measures the total revenue generated from SMS over 30 days, likely derived from call detail records. As a java.lang.Double, it's a numeric KPI used in CVM rule engines to assess subscriber value and engagement over a monthly period."
998,Sms_Roam_Rev_LMTD,"Sms_Roam_Rev_LMTD measures the limited SMS roaming revenue, likely derived from call detail records, stored as a Double value. It's used in CVM rule engines to assess subscriber behavior and revenue performance, possibly on a monthly basis, given its limited nature."
999,Sms_Roam_Rev_MTD,"Sms_Roam_Rev_MTD measures the total revenue from SMS roaming services for a customer on a month-to-date basis, likely derived from call detail records, categorized under GROUP_ID 105, stored as a java.lang.Double value, used in CVM rule engine for evaluating customer value."
1000,Days_Since_SMS_Last_Activity,"Days Since SMS Last Activity measures the number of days since a customer's last SMS activity, indicating engagement level. It's a numeric, integer-valued KPI used in CVM rule engines to assess customer interaction, likely derived from CDRs, and is crucial for targeted telecom campaigns."
1001,Total_Rev_Data_7,"Total_Rev_Data_7 measures the total revenue from data services over 7 days, likely derived from call detail records. It's a numeric KPI used in CVM rule engines to assess subscriber value, with values stored as java.lang.Double, enabling daily or cumulative analysis."
1002,Total_Rev_Data_1,"Total_Rev_Data_1 measures total revenue from data services, likely derived from call detail records. As a numeric KPI in CVM rule engine, it's used to assess subscriber value. Its double data type indicates precise revenue tracking, enabling targeted telecom campaigns."
1003,Total_Data_Rev_MTD,"Total_Data_Rev_MTD measures the total data revenue for a telecom subscriber on a month-to-date basis, likely derived from call detail records and stored as a numeric value, used in CVM rule engines to assess customer value and tailor marketing campaigns."
